Age,Category,,Description,Option,Requirement,Energy,Money,Health,IQ,Karma
13-16,Secondary School,,You got a trash score in your recent Physics test and your form teacher has arranged a remedial class. Will you go?,No,,0,0,0,-5,0
13-16,Secondary School,,Annual Sports Day is here,,,,,,,
13-16,Secondary School,,Annual Sports Day is here,,,,,,,
13-16,Secondary School,,While you were making your way to school,,,,,,,
13-16,Secondary School,,While you were making your way to school,,,,,,,
13-16,Secondary School,,Exams are coming and you are studying hard for your physics subject. So heres a question. Enoch bought a old metal lamp,,,,,,,
13-16,Secondary School,,Exams are coming and you are studying hard for your physics subject. So heres a question. Enoch bought a old metal lamp,,,,,,,
13-16,Secondary School,,Exams are coming and you are studying hard for your physics subject. So heres a question. Enoch bought a old metal lamp,,,,,,,
13-16,Secondary School,Compulsory,O-LEVEL EXAM : ,,,0,0,0,0,0
13-16,Secondary School,Compulsory,O-LEVEL EXAM : ,,,0,0,0,0,0
13-16,Secondary School,Compulsory,O-LEVEL EXAM : ,,,0,0,0,0,0
13-16,Secondary School,Compulsory,Congrats on passing your O-Levels. Choose your tertiary institute.,Catholic Junior College,IQ,,,,,
13-16,Secondary School,Compulsory,Congrats on passing your O-Levels. Choose your tertiary institute.,PeePee Polytechnic,IQ,,,,,
13-16,Secondary School,Compulsory,Congrats on passing your O-Levels. Choose your tertiary institute.,Temasek Junior College,IQ,,,,,
13-16,Secondary School,Compulsory,Congrats on passing your O-Levels. Choose your tertiary institute.,Rich Kid Junior College,IQ,,,,,
13-16,Post-Secondary School,,Holiday is here,,,,,,,
13-16,Post-Secondary School,,Holiday is here,,,,,,,
17-18,JC,,Skip class for KPOP IU concert,Yes,,-20,-400,0,0,0
17-18,JC,,Skip class for KPOP IU concert,No,,0,0,0,0,0
17-18,JC,,Join Xu Kai in basketball?,Yes,,-15,0,5,0,0
17-18,JC,,Join Xu Kai in basketball?,No,,0,0,-15,0,0
17-18,JC,,Your class nerd,,,,,,,
17-18,JC,,Your class nerd,,,,,,,
17-18,JC,,A-LEVEL EXAM : Which compounds would likely undergo a nucleophilic addition reaction?,Ethene,,0,0,0,-20,0
17-18,JC,,A-LEVEL EXAM : Which compounds would likely undergo a nucleophilic addition reaction?,Ethanal,,0,0,0,30,0
17-18,JC,,A-LEVEL EXAM : Which compounds would likely undergo a nucleophilic addition reaction?,Benzene,,0,0,0,-20,0
17-19,Polytechnic,,Poly semester is about to start,,,,,,,
17-19,Polytechnic,,Poly semester is about to start,,,,,,,
17-19,Polytechnic,,Your friends invited you to catch a blockbuster movie,,,,,,,
17-19,Polytechnic,,Your friends invited you to catch a blockbuster movie,,,,,,,
17-19,Polytechnic,,Mid-term assessment is here,,,,,,,
17-19,Polytechnic,,Mid-term assessment is here,,,,,,,
17-19,Polytechnic,,"FINAL SEMESTER EXAMS : Find how many for-loops is needed to attain the value of ""Apple/Banana/Coke"".  Note : No hardcoding ONLY through the usage of loops with NO other usage of build-in functions   choice = [",,,,,,,
,,,,,,,,,,
    {'0-6':,,,,,,,,,,
         {'Please Choose an Item':,,,,,,,,,,
              {'Book': '0,,,,,,,,,,
               'Basketball': '20,,,,,,,,,,
               'Knife': '0,,,,,,,,,,
"          }}]""",4,,0,0,0,30,0,,,
17-19,Polytechnic,,"FINAL SEMESTER EXAMS : Find how many for-loops is needed to attain the value of ""Apple/Banana/Coke"".  Note : No hardcoding ONLY through the usage of loops with NO other usage of build-in functions   choice = [",,,,,,,
,,,,,,,,,,
    {'0-6':,,,,,,,,,,
         {'Please Choose an Item':,,,,,,,,,,
              {'Book': '0,,,,,,,,,,
               'Basketball': '20,,,,,,,,,,
               'Knife': '0,,,,,,,,,,
"          }}]""",5,,0,0,0,-30,0,,,
17-19,Polytechnic,,"FINAL SEMESTER EXAMS : Find how many for-loops is needed to attain the value of ""Apple/Banana/Coke"".  Note : No hardcoding ONLY through the usage of loops with NO other usage of build-in functions   choice = [",,,,,,,
,,,,,,,,,,
    {'0-6':,,,,,,,,,,
         {'Please Choose an Item':,,,,,,,,,,
              {'Book': '0,,,,,,,,,,
               'Basketball': '20,,,,,,,,,,
               'Knife': '0,,,,,,,,,,
"          }}]""",3,,0,0,0,-30,0,,,
17-19,Polytechnic,,,,,,,,,
17-19,Polytechnic,,,,,,,,,
17-19,Polytechnic,,,,,,,,,
17-19,Polytechnic,,,,,,,,,
